run,mode,fog,Completion,Hits,Time,Dist
baseline,PPO,0.0,50.0,0.5,157.40800000000002,16.783
baseline,PPO,0.02,50.0,1.75,162.432,16.99225
baseline,PPO,0.05,25.0,1.0,158.72,14.561
baseline,PURE_APF,0.0,0.0,0.0,,5.7307500000000005
baseline,PURE_APF,0.02,0.0,0.0,,5.7277499999999995
baseline,PURE_APF,0.05,0.0,0.0,,5.71125
baseline,PURE_DSTAR,0.0,75.0,0.0,366.0373333333334,16.35125
baseline,PURE_DSTAR,0.02,25.0,0.0,332.768,9.117750000000001
baseline,PURE_DSTAR,0.05,0.0,0.0,,7.36375
ppo_robust,PPO,0.0,0.0,1.25,,6.944
ppo_robust,PPO,0.05,0.0,5.5,,9.024750000000001
robust_dynamic,PPO,0.0,0.0,1.25,,6.966
robust_dynamic,PPO,0.02,0.0,10.5,,9.312500000000002
robust_dynamic,PPO,0.05,0.0,9.5,,13.043
